league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
Italian Women A2,2023-2024,11/2/2024 ,Valsabbina Millenium Brescia,Pallavolo C.B.L. Costa Volpino,3,0,3-0,3,Valsabbina Millenium Brescia,Valsabbina Millenium Brescia,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,11/2/2024 ,Orocash Picco Lecco,Vtb Fcredil Bologna,3,2,3-2,5,Orocash Picco Lecco,Vtb Fcredil Bologna,Orocash Picco Lecco,TRUE
Italian Women A2,2023-2024,11/2/2024 ,Sirdeco Volley Pescara,Volley Hermaea Olbia,0,3,0-3,3,Volley Hermaea Olbia,Volley Hermaea Olbia,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,11/2/2024 ,Nuvolì Altafratte Padova,Narconon Volley Melendugno,1,3,1-3,4,Narconon Volley Melendugno,Narconon Volley Melendugno,Nuvolì Altafratte Padova,FALSE
Italian Women A2,2023-2024,11/2/2024 ,Volley Soverato,Trasporti Bressan Offanengo,0,3,0-3,3,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Volley Soverato,FALSE
Italian Women A2,2023-2024,24/2/2024 ,Narconon Volley Melendugno,Vtb Fcredil Bologna,1,3,1-3,4,Vtb Fcredil Bologna,Narconon Volley Melendugno,Vtb Fcredil Bologna,TRUE
Italian Women A2,2023-2024,25/2/2024 ,Orocash Picco Lecco,Valsabbina Millenium Brescia,3,1,3-1,4,Orocash Picco Lecco,Orocash Picco Lecco,Valsabbina Millenium Brescia,FALSE
Italian Women A2,2023-2024,25/2/2024 ,Pallavolo C.B.L. Costa Volpino,Volley Soverato,3,0,3-0,3,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L. Costa Volpino,Volley Soverato,FALSE
Italian Women A2,2023-2024,25/2/2024 ,Volley Hermaea Olbia,Nuvolì Altafratte Padova,3,0,3-0,3,Volley Hermaea Olbia,Volley Hermaea Olbia,Nuvolì Altafratte Padova,FALSE
Italian Women A2,2023-2024,25/2/2024 ,Trasporti Bressan Offanengo,Sirdeco Volley Pescara,3,0,3-0,3,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,3/3/2024 ,Valsabbina Millenium Brescia,Trasporti Bressan Offanengo,1,3,1-3,4,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Valsabbina Millenium Brescia,FALSE
Italian Women A2,2023-2024,3/3/2024 ,Vtb Fcredil Bologna,Volley Hermaea Olbia,1,3,1-3,4,Volley Hermaea Olbia,Volley Hermaea Olbia,Vtb Fcredil Bologna,FALSE
Italian Women A2,2023-2024,3/3/2024 ,Volley Soverato,Orocash Picco Lecco,1,3,1-3,4,Orocash Picco Lecco,Volley Soverato,Orocash Picco Lecco,TRUE
Italian Women A2,2023-2024,3/3/2024 ,Nuvolì Altafratte Padova,Pallavolo C.B.L. Costa Volpino,3,1,3-1,4,Nuvolì Altafratte Padova,Nuvolì Altafratte Padova,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,3/3/2024 ,Sirdeco Volley Pescara,Narconon Volley Melendugno,0,3,0-3,3,Narconon Volley Melendugno,Narconon Volley Melendugno,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,9/3/2024 ,Vtb Fcredil Bologna,Trasporti Bressan Offanengo,0,3,0-3,3,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Vtb Fcredil Bologna,FALSE
Italian Women A2,2023-2024,10/3/2024 ,Sirdeco Volley Pescara,Pallavolo C.B.L. Costa Volpino,0,3,0-3,3,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L. Costa Volpino,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,10/3/2024 ,Narconon Volley Melendugno,Volley Soverato,3,0,3-0,3,Narconon Volley Melendugno,Narconon Volley Melendugno,Volley Soverato,FALSE
Italian Women A2,2023-2024,10/3/2024 ,Nuvolì Altafratte Padova,Orocash Picco Lecco,2,3,2-3,5,Orocash Picco Lecco,Nuvolì Altafratte Padova,Orocash Picco Lecco,TRUE
Italian Women A2,2023-2024,10/3/2024 ,Volley Hermaea Olbia,Valsabbina Millenium Brescia,1,3,1-3,4,Valsabbina Millenium Brescia,Valsabbina Millenium Brescia,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,17/3/2024 ,Orocash Picco Lecco,Sirdeco Volley Pescara,3,0,3-0,3,Orocash Picco Lecco,Orocash Picco Lecco,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,17/3/2024 ,Valsabbina Millenium Brescia,Narconon Volley Melendugno,2,3,2-3,5,Narconon Volley Melendugno,Narconon Volley Melendugno,Valsabbina Millenium Brescia,FALSE
Italian Women A2,2023-2024,17/3/2024 ,Pallavolo C.B.L. Costa Volpino,Vtb Fcredil Bologna,1,3,1-3,4,Vtb Fcredil Bologna,Vtb Fcredil Bologna,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,17/3/2024 ,Volley Soverato,Volley Hermaea Olbia,2,3,2-3,5,Volley Hermaea Olbia,Volley Hermaea Olbia,Volley Soverato,FALSE
Italian Women A2,2023-2024,17/3/2024 ,Trasporti Bressan Offanengo,Nuvolì Altafratte Padova,3,0,3-0,3,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Nuvolì Altafratte Padova,FALSE
Italian Women A2,2023-2024,24/3/2024 ,Volley Hermaea Olbia,Sirdeco Volley Pescara,3,0,3-0,3,Volley Hermaea Olbia,Volley Hermaea Olbia,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,24/3/2024 ,Pallavolo C.B.L. Costa Volpino,Valsabbina Millenium Brescia,3,1,3-1,4,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L. Costa Volpino,Valsabbina Millenium Brescia,FALSE
Italian Women A2,2023-2024,24/3/2024 ,Vtb Fcredil Bologna,Orocash Picco Lecco,2,3,2-3,5,Orocash Picco Lecco,Vtb Fcredil Bologna,Orocash Picco Lecco,TRUE
Italian Women A2,2023-2024,24/3/2024 ,Narconon Volley Melendugno,Nuvolì Altafratte Padova,2,3,2-3,5,Nuvolì Altafratte Padova,Narconon Volley Melendugno,Nuvolì Altafratte Padova,TRUE
Italian Women A2,2023-2024,24/3/2024 ,Trasporti Bressan Offanengo,Volley Soverato,3,2,3-2,5,Trasporti Bressan Offanengo,Volley Soverato,Trasporti Bressan Offanengo,TRUE
Italian Women A2,2023-2024,30/3/2024 ,Valsabbina Millenium Brescia,Orocash Picco Lecco,2,3,2-3,5,Orocash Picco Lecco,Orocash Picco Lecco,Valsabbina Millenium Brescia,FALSE
Italian Women A2,2023-2024,30/3/2024 ,Vtb Fcredil Bologna,Narconon Volley Melendugno,3,2,3-2,5,Vtb Fcredil Bologna,Narconon Volley Melendugno,Vtb Fcredil Bologna,TRUE
Italian Women A2,2023-2024,30/3/2024 ,Volley Soverato,Pallavolo C.B.L. Costa Volpino,3,1,3-1,4,Volley Soverato,Volley Soverato,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,30/3/2024 ,Nuvolì Altafratte Padova,Volley Hermaea Olbia,1,3,1-3,4,Volley Hermaea Olbia,Volley Hermaea Olbia,Nuvolì Altafratte Padova,FALSE
Italian Women A2,2023-2024,30/3/2024 ,Sirdeco Volley Pescara,Trasporti Bressan Offanengo,0,3,0-3,3,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,7/4/2024 ,Trasporti Bressan Offanengo,Valsabbina Millenium Brescia,1,3,1-3,4,Valsabbina Millenium Brescia,Valsabbina Millenium Brescia,Trasporti Bressan Offanengo,FALSE
Italian Women A2,2023-2024,7/4/2024 ,Volley Hermaea Olbia,Vtb Fcredil Bologna,3,0,3-0,3,Volley Hermaea Olbia,Volley Hermaea Olbia,Vtb Fcredil Bologna,FALSE
Italian Women A2,2023-2024,7/4/2024 ,Orocash Picco Lecco,Volley Soverato,3,0,3-0,3,Orocash Picco Lecco,Orocash Picco Lecco,Volley Soverato,FALSE
Italian Women A2,2023-2024,7/4/2024 ,Pallavolo C.B.L. Costa Volpino,Nuvolì Altafratte Padova,1,3,1-3,4,Nuvolì Altafratte Padova,Nuvolì Altafratte Padova,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,7/4/2024 ,Narconon Volley Melendugno,Sirdeco Volley Pescara,3,0,3-0,3,Narconon Volley Melendugno,Narconon Volley Melendugno,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,10/1/2024 ,Ipag Montecchio,Cda Volley Talmassons Fvg,0,3,0-3,3,Cda Volley Talmassons Fvg,Cda Volley Talmassons Fvg,Ipag Montecchio,FALSE
Italian Women A2,2023-2024,10/1/2024 ,Bartoccini-Fortinfissi Perugia,Omag-Mt San Giovanni In M.No,3,1,3-1,4,Bartoccini-Fortinfissi Perugia,Omag-Mt San Giovanni In M.No,Bartoccini-Fortinfissi Perugia,TRUE
Italian Women A2,2023-2024,10/1/2024 ,Cbf Balducci Hr Macerata,Città Di Messina,0,3,0-3,3,Città Di Messina,Città Di Messina,Cbf Balducci Hr Macerata,FALSE
Italian Women A2,2023-2024,10/1/2024 ,Futura Busto Arsizio,Cremonaufficio Esperia Cremona,3,0,3-0,3,Futura Busto Arsizio,Futura Busto Arsizio,Cremonaufficio Esperia Cremona,FALSE
Italian Women A2,2023-2024,24/1/2024 ,Futura Busto Arsizio,Città Di Messina,3,0,3-0,3,Futura Busto Arsizio,Futura Busto Arsizio,Città Di Messina,FALSE
Italian Women A2,2023-2024,31/1/2024 ,Bartoccini-Fortinfissi Perugia,Cda Volley Talmassons Fvg,3,0,3-0,3,Bartoccini-Fortinfissi Perugia,Bartoccini-Fortinfissi Perugia,Cda Volley Talmassons Fvg,FALSE
Italian Women A2,2023-2024,18/2/2024 ,Bartoccini-Fortinfissi Perugia,Futura Busto Arsizio,3,0,3-0,3,Bartoccini-Fortinfissi Perugia,Bartoccini-Fortinfissi Perugia,Futura Busto Arsizio,FALSE
Italian Men SuperLega,2023-2024,22/10/2023 ,Sir Susa Vim Perugia,Farmitalia Catania,3,0,3-0,3,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,22/10/2023 ,Valsa Group Modena,Allianz Milano,3,2,3-2,5,Valsa Group Modena,Valsa Group Modena,Allianz Milano,FALSE
Italian Men SuperLega,2023-2024,22/10/2023 ,Cucine Lube Civitanova,Mint Vero Volley Monza,0,3,0-3,3,Mint Vero Volley Monza,Mint Vero Volley Monza,Cucine Lube Civitanova,FALSE
Italian Men SuperLega,2023-2024,22/10/2023 ,Gas Sales Bluenergy Piacenza,Pallavolo Padova,3,0,3-0,3,Gas Sales Bluenergy Piacenza,Gas Sales Bluenergy Piacenza,Pallavolo Padova,FALSE
Italian Men SuperLega,2023-2024,22/10/2023 ,Cisterna Volley,Itas Trentino,2,3,2-3,5,Itas Trentino,Itas Trentino,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,22/10/2023 ,Gioiella Prisma Taranto,Rana Verona,1,3,1-3,4,Rana Verona,Rana Verona,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,28/10/2023 ,Itas Trentino,Gioiella Prisma Taranto,3,2,3-2,5,Itas Trentino,Itas Trentino,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,28/10/2023 ,Rana Verona,Valsa Group Modena,2,3,2-3,5,Valsa Group Modena,Rana Verona,Valsa Group Modena,TRUE
Italian Men SuperLega,2023-2024,29/10/2023 ,Mint Vero Volley Monza,Sir Susa Vim Perugia,0,3,0-3,3,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Mint Vero Volley Monza,FALSE
Italian Men SuperLega,2023-2024,29/10/2023 ,Allianz Milano,Gas Sales Bluenergy Piacenza,0,3,0-3,3,Gas Sales Bluenergy Piacenza,Gas Sales Bluenergy Piacenza,Allianz Milano,FALSE
Italian Men SuperLega,2023-2024,29/10/2023 ,Pallavolo Padova,Cucine Lube Civitanova,0,3,0-3,3,Cucine Lube Civitanova,Cucine Lube Civitanova,Pallavolo Padova,FALSE
Italian Men SuperLega,2023-2024,29/10/2023 ,Farmitalia Catania,Cisterna Volley,3,1,3-1,4,Farmitalia Catania,Cisterna Volley,Farmitalia Catania,TRUE
Italian Men SuperLega,2023-2024,5/11/2023 ,Valsa Group Modena,Mint Vero Volley Monza,0,3,0-3,3,Mint Vero Volley Monza,Mint Vero Volley Monza,Valsa Group Modena,FALSE
Italian Men SuperLega,2023-2024,5/11/2023 ,Cucine Lube Civitanova,Sir Susa Vim Perugia,3,2,3-2,5,Cucine Lube Civitanova,Sir Susa Vim Perugia,Cucine Lube Civitanova,TRUE
Italian Men SuperLega,2023-2024,5/11/2023 ,Rana Verona,Itas Trentino,0,3,0-3,3,Itas Trentino,Itas Trentino,Rana Verona,FALSE
Italian Men SuperLega,2023-2024,5/11/2023 ,Gas Sales Bluenergy Piacenza,Farmitalia Catania,3,0,3-0,3,Gas Sales Bluenergy Piacenza,Gas Sales Bluenergy Piacenza,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,4/11/2023 ,Cisterna Volley,Allianz Milano,3,0,3-0,3,Cisterna Volley,Cisterna Volley,Allianz Milano,FALSE
Italian Men SuperLega,2023-2024,5/11/2023 ,Gioiella Prisma Taranto,Pallavolo Padova,2,3,2-3,5,Pallavolo Padova,Pallavolo Padova,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,12/11/2023 ,Sir Susa Vim Perugia,Valsa Group Modena,3,1,3-1,4,Sir Susa Vim Perugia,Valsa Group Modena,Sir Susa Vim Perugia,TRUE
Italian Men SuperLega,2023-2024,11/11/2023 ,Itas Trentino,Gas Sales Bluenergy Piacenza,3,1,3-1,4,Itas Trentino,Itas Trentino,Gas Sales Bluenergy Piacenza,FALSE
Italian Men SuperLega,2023-2024,12/11/2023 ,Mint Vero Volley Monza,Gioiella Prisma Taranto,3,0,3-0,3,Mint Vero Volley Monza,Mint Vero Volley Monza,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,12/11/2023 ,Allianz Milano,Cucine Lube Civitanova,3,0,3-0,3,Allianz Milano,Allianz Milano,Cucine Lube Civitanova,FALSE
Italian Men SuperLega,2023-2024,12/11/2023 ,Pallavolo Padova,Cisterna Volley,3,2,3-2,5,Pallavolo Padova,Pallavolo Padova,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,12/11/2023 ,Farmitalia Catania,Rana Verona,1,3,1-3,4,Rana Verona,Rana Verona,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,15/11/2023 ,Valsa Group Modena,Pallavolo Padova,3,1,3-1,4,Valsa Group Modena,Pallavolo Padova,Valsa Group Modena,TRUE
Italian Men SuperLega,2023-2024,15/11/2023 ,Cucine Lube Civitanova,Farmitalia Catania,3,0,3-0,3,Cucine Lube Civitanova,Cucine Lube Civitanova,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,8/11/2023 ,Rana Verona,Mint Vero Volley Monza,1,3,1-3,4,Mint Vero Volley Monza,Mint Vero Volley Monza,Rana Verona,FALSE
Italian Men SuperLega,2023-2024,15/11/2023 ,Gas Sales Bluenergy Piacenza,Cisterna Volley,3,1,3-1,4,Gas Sales Bluenergy Piacenza,Gas Sales Bluenergy Piacenza,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,15/11/2023 ,Allianz Milano,Itas Trentino,1,3,1-3,4,Itas Trentino,Itas Trentino,Allianz Milano,FALSE
Italian Men SuperLega,2023-2024,15/11/2023 ,Gioiella Prisma Taranto,Sir Susa Vim Perugia,1,3,1-3,4,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,19/11/2023 ,Sir Susa Vim Perugia,Gas Sales Bluenergy Piacenza,3,2,3-2,5,Sir Susa Vim Perugia,Gas Sales Bluenergy Piacenza,Sir Susa Vim Perugia,TRUE
Italian Men SuperLega,2023-2024,19/11/2023 ,Itas Trentino,Mint Vero Volley Monza,3,1,3-1,4,Itas Trentino,Mint Vero Volley Monza,Itas Trentino,TRUE
Italian Men SuperLega,2023-2024,19/11/2023 ,Valsa Group Modena,Cucine Lube Civitanova,0,3,0-3,3,Cucine Lube Civitanova,Cucine Lube Civitanova,Valsa Group Modena,FALSE
Italian Men SuperLega,2023-2024,19/11/2023 ,Cisterna Volley,Gioiella Prisma Taranto,3,2,3-2,5,Cisterna Volley,Gioiella Prisma Taranto,Cisterna Volley,TRUE
Italian Men SuperLega,2023-2024,18/11/2023 ,Pallavolo Padova,Rana Verona,3,1,3-1,4,Pallavolo Padova,Pallavolo Padova,Rana Verona,FALSE
Italian Men SuperLega,2023-2024,19/11/2023 ,Farmitalia Catania,Allianz Milano,1,3,1-3,4,Allianz Milano,Farmitalia Catania,Allianz Milano,TRUE
Italian Men SuperLega,2023-2024,26/11/2023 ,Itas Trentino,Farmitalia Catania,3,0,3-0,3,Itas Trentino,Itas Trentino,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,26/11/2023 ,Cucine Lube Civitanova,Gioiella Prisma Taranto,3,2,3-2,5,Cucine Lube Civitanova,Cucine Lube Civitanova,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,26/11/2023 ,Rana Verona,Sir Susa Vim Perugia,0,3,0-3,3,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Rana Verona,FALSE
Italian Men SuperLega,2023-2024,26/11/2023 ,Mint Vero Volley Monza,Gas Sales Bluenergy Piacenza,3,2,3-2,5,Mint Vero Volley Monza,Gas Sales Bluenergy Piacenza,Mint Vero Volley Monza,TRUE
Italian Men SuperLega,2023-2024,26/11/2023 ,Allianz Milano,Pallavolo Padova,3,0,3-0,3,Allianz Milano,Allianz Milano,Pallavolo Padova,FALSE
Italian Men SuperLega,2023-2024,25/11/2023 ,Cisterna Volley,Valsa Group Modena,1,3,1-3,4,Valsa Group Modena,Valsa Group Modena,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,2/12/2023 ,Sir Susa Vim Perugia,Cisterna Volley,3,1,3-1,4,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,10/12/2023 ,Valsa Group Modena,Itas Trentino,3,1,3-1,4,Valsa Group Modena,Itas Trentino,Valsa Group Modena,TRUE
Italian Men SuperLega,2023-2024,3/12/2023 ,Gas Sales Bluenergy Piacenza,Rana Verona,3,0,3-0,3,Gas Sales Bluenergy Piacenza,Gas Sales Bluenergy Piacenza,Rana Verona,FALSE
Italian Men SuperLega,2023-2024,4/12/2023 ,Mint Vero Volley Monza,Allianz Milano,0,3,0-3,3,Allianz Milano,Allianz Milano,Mint Vero Volley Monza,FALSE
Italian Men SuperLega,2023-2024,3/12/2023 ,Pallavolo Padova,Farmitalia Catania,3,1,3-1,4,Pallavolo Padova,Pallavolo Padova,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,2/12/2023 ,Gioiella Prisma Taranto,Valsa Group Modena,2,3,2-3,5,Valsa Group Modena,Valsa Group Modena,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,22/11/2023 ,Sir Susa Vim Perugia,Pallavolo Padova,3,0,3-0,3,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Pallavolo Padova,FALSE
Italian Men SuperLega,2023-2024,10/12/2023 ,Rana Verona,Allianz Milano,3,2,3-2,5,Rana Verona,Allianz Milano,Rana Verona,TRUE
Italian Men SuperLega,2023-2024,8/12/2023 ,Cisterna Volley,Cucine Lube Civitanova,1,3,1-3,4,Cucine Lube Civitanova,Cucine Lube Civitanova,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,8/12/2023 ,Gioiella Prisma Taranto,Gas Sales Bluenergy Piacenza,1,3,1-3,4,Gas Sales Bluenergy Piacenza,Gioiella Prisma Taranto,Gas Sales Bluenergy Piacenza,TRUE
Italian Men SuperLega,2023-2024,10/12/2023 ,Farmitalia Catania,Mint Vero Volley Monza,1,3,1-3,4,Mint Vero Volley Monza,Mint Vero Volley Monza,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,17/12/2023 ,Itas Trentino,Sir Susa Vim Perugia,3,1,3-1,4,Itas Trentino,Itas Trentino,Sir Susa Vim Perugia,FALSE
Italian Men SuperLega,2023-2024,17/12/2023 ,Rana Verona,Cisterna Volley,3,0,3-0,3,Rana Verona,Rana Verona,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,17/12/2023 ,Gas Sales Bluenergy Piacenza,Cucine Lube Civitanova,2,3,2-3,5,Cucine Lube Civitanova,Cucine Lube Civitanova,Gas Sales Bluenergy Piacenza,FALSE
Italian Men SuperLega,2023-2024,17/12/2023 ,Mint Vero Volley Monza,Pallavolo Padova,3,0,3-0,3,Mint Vero Volley Monza,Mint Vero Volley Monza,Pallavolo Padova,FALSE
Italian Men SuperLega,2023-2024,17/12/2023 ,Allianz Milano,Gioiella Prisma Taranto,3,2,3-2,5,Allianz Milano,Gioiella Prisma Taranto,Allianz Milano,TRUE
Italian Men SuperLega,2023-2024,16/12/2023 ,Farmitalia Catania,Valsa Group Modena,2,3,2-3,5,Valsa Group Modena,Farmitalia Catania,Valsa Group Modena,TRUE
Italian Men SuperLega,2023-2024,26/12/2023 ,Sir Susa Vim Perugia,Allianz Milano,2,3,2-3,5,Allianz Milano,Sir Susa Vim Perugia,Allianz Milano,TRUE
Italian Men SuperLega,2023-2024,26/12/2023 ,Valsa Group Modena,Gas Sales Bluenergy Piacenza,0,3,0-3,3,Gas Sales Bluenergy Piacenza,Gas Sales Bluenergy Piacenza,Valsa Group Modena,FALSE
Italian Men SuperLega,2023-2024,26/12/2023 ,Cucine Lube Civitanova,Rana Verona,2,3,2-3,5,Rana Verona,Cucine Lube Civitanova,Rana Verona,TRUE
Italian Men SuperLega,2023-2024,26/12/2023 ,Cisterna Volley,Mint Vero Volley Monza,3,1,3-1,4,Cisterna Volley,Cisterna Volley,Mint Vero Volley Monza,FALSE
Italian Men SuperLega,2023-2024,26/12/2023 ,Pallavolo Padova,Itas Trentino,0,3,0-3,3,Itas Trentino,Itas Trentino,Pallavolo Padova,FALSE
Italian Men SuperLega,2023-2024,26/12/2023 ,Gioiella Prisma Taranto,Farmitalia Catania,3,1,3-1,4,Gioiella Prisma Taranto,Gioiella Prisma Taranto,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,30/12/2023 ,Farmitalia Catania,Sir Susa Vim Perugia,0,3,0-3,3,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,30/12/2023 ,Allianz Milano,Valsa Group Modena,3,0,3-0,3,Allianz Milano,Allianz Milano,Valsa Group Modena,FALSE
Italian Men SuperLega,2023-2024,30/12/2023 ,Mint Vero Volley Monza,Cucine Lube Civitanova,1,3,1-3,4,Cucine Lube Civitanova,Mint Vero Volley Monza,Cucine Lube Civitanova,TRUE
Italian Men SuperLega,2023-2024,30/12/2023 ,Pallavolo Padova,Gas Sales Bluenergy Piacenza,1,3,1-3,4,Gas Sales Bluenergy Piacenza,Pallavolo Padova,Gas Sales Bluenergy Piacenza,TRUE
Italian Men SuperLega,2023-2024,30/12/2023 ,Itas Trentino,Cisterna Volley,3,0,3-0,3,Itas Trentino,Itas Trentino,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,29/12/2023 ,Rana Verona,Gioiella Prisma Taranto,3,1,3-1,4,Rana Verona,Rana Verona,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,7/1/2024 ,Gioiella Prisma Taranto,Itas Trentino,0,3,0-3,3,Itas Trentino,Itas Trentino,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,7/1/2024 ,Valsa Group Modena,Rana Verona,0,3,0-3,3,Rana Verona,Rana Verona,Valsa Group Modena,FALSE
Italian Men SuperLega,2023-2024,7/1/2024 ,Sir Susa Vim Perugia,Mint Vero Volley Monza,3,0,3-0,3,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Mint Vero Volley Monza,FALSE
Italian Men SuperLega,2023-2024,6/1/2024 ,Gas Sales Bluenergy Piacenza,Allianz Milano,3,2,3-2,5,Gas Sales Bluenergy Piacenza,Gas Sales Bluenergy Piacenza,Allianz Milano,FALSE
Italian Men SuperLega,2023-2024,6/1/2024 ,Cucine Lube Civitanova,Pallavolo Padova,3,0,3-0,3,Cucine Lube Civitanova,Cucine Lube Civitanova,Pallavolo Padova,FALSE
Italian Men SuperLega,2023-2024,7/1/2024 ,Cisterna Volley,Farmitalia Catania,3,1,3-1,4,Cisterna Volley,Cisterna Volley,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,14/1/2024 ,Mint Vero Volley Monza,Valsa Group Modena,2,3,2-3,5,Valsa Group Modena,Valsa Group Modena,Mint Vero Volley Monza,FALSE
Italian Men SuperLega,2023-2024,14/1/2024 ,Sir Susa Vim Perugia,Cucine Lube Civitanova,3,0,3-0,3,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Cucine Lube Civitanova,FALSE
Italian Men SuperLega,2023-2024,14/1/2024 ,Itas Trentino,Rana Verona,3,1,3-1,4,Itas Trentino,Rana Verona,Itas Trentino,TRUE
Italian Men SuperLega,2023-2024,14/1/2024 ,Farmitalia Catania,Gas Sales Bluenergy Piacenza,1,3,1-3,4,Gas Sales Bluenergy Piacenza,Gas Sales Bluenergy Piacenza,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,14/1/2024 ,Allianz Milano,Cisterna Volley,3,0,3-0,3,Allianz Milano,Allianz Milano,Cisterna Volley,FALSE
Italian Men SuperLega,2023-2024,14/1/2024 ,Pallavolo Padova,Gioiella Prisma Taranto,2,3,2-3,5,Gioiella Prisma Taranto,Pallavolo Padova,Gioiella Prisma Taranto,TRUE
Italian Men SuperLega,2023-2024,20/1/2024 ,Valsa Group Modena,Sir Susa Vim Perugia,0,3,0-3,3,Sir Susa Vim Perugia,Sir Susa Vim Perugia,Valsa Group Modena,FALSE
Italian Men SuperLega,2023-2024,21/1/2024 ,Gas Sales Bluenergy Piacenza,Itas Trentino,1,3,1-3,4,Itas Trentino,Itas Trentino,Gas Sales Bluenergy Piacenza,FALSE
Italian Men SuperLega,2023-2024,21/1/2024 ,Gioiella Prisma Taranto,Mint Vero Volley Monza,1,3,1-3,4,Mint Vero Volley Monza,Mint Vero Volley Monza,Gioiella Prisma Taranto,FALSE
Italian Men SuperLega,2023-2024,21/1/2024 ,Cucine Lube Civitanova,Allianz Milano,3,2,3-2,5,Cucine Lube Civitanova,Cucine Lube Civitanova,Allianz Milano,FALSE
Italian Men SuperLega,2023-2024,21/1/2024 ,Cisterna Volley,Pallavolo Padova,3,1,3-1,4,Cisterna Volley,Pallavolo Padova,Cisterna Volley,TRUE
Italian Men SuperLega,2023-2024,21/1/2024 ,Rana Verona,Farmitalia Catania,3,1,3-1,4,Rana Verona,Rana Verona,Farmitalia Catania,FALSE
Italian Men SuperLega,2023-2024,25/1/2024 ,Pallavolo Padova,Valsa Group Modena,3,1,3-1,4,Pallavolo Padova,Pallavolo Padova,Valsa Group Modena,FALSE
Italian Men SuperLega,2023-2024,24/1/2024 ,Farmitalia Catania,Cucine Lube Civitanova,2,3,2-3,5,Cucine Lube Civitanova,Farmitalia Catania,Cucine Lube Civitanova,TRUE
