league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
Italian Women A2,2023-2024,1/11/2023 ,Volley Hermaea Olbia,Trasporti Bressan Offanengo,3,1,3-1,4,Volley Hermaea Olbia,Volley Hermaea Olbia,Trasporti Bressan Offanengo,FALSE
Italian Women A2,2023-2024,1/11/2023 ,Ipag S.Lle Ramonda Montecchio,Pallavolo C.B.L. Costa Volpino,3,1,3-1,4,Ipag S.Lle Ramonda Montecchio,Ipag S.Lle Ramonda Montecchio,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,1/11/2023 ,Lpm Bam Mondovì,Cremonaufficio Esperia Cremona,0,3,0-3,3,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Lpm Bam Mondovì,FALSE
Italian Women A2,2023-2024,5/11/2023 ,Omag-Mt San Giovanni In M.No,Cbf Balducci Hr Macerata,1,3,1-3,4,Cbf Balducci Hr Macerata,Omag-Mt San Giovanni In M.No,Cbf Balducci Hr Macerata,TRUE
Italian Women A2,2023-2024,5/11/2023 ,Orocash Picco Lecco,Volley Hermaea Olbia,3,2,3-2,5,Orocash Picco Lecco,Orocash Picco Lecco,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,5/11/2023 ,Trasporti Bressan Offanengo,Cremonaufficio Esperia Cremona,1,3,1-3,4,Cremonaufficio Esperia Cremona,Trasporti Bressan Offanengo,Cremonaufficio Esperia Cremona,TRUE
Italian Women A2,2023-2024,5/11/2023 ,Narconon Volley Melendugno,Ipag S.Lle Ramonda Montecchio,1,3,1-3,4,Ipag S.Lle Ramonda Montecchio,Ipag S.Lle Ramonda Montecchio,Narconon Volley Melendugno,FALSE
Italian Women A2,2023-2024,5/11/2023 ,Pallavolo C.B.L. Costa Volpino,Lpm Bam Mondovì,2,3,2-3,5,Lpm Bam Mondovì,Lpm Bam Mondovì,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,11/11/2023 ,Cremonaufficio Esperia Cremona,Orocash Picco Lecco,3,1,3-1,4,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Orocash Picco Lecco,FALSE
Italian Women A2,2023-2024,12/11/2023 ,Cbf Balducci Hr Macerata,Pallavolo C.B.L. Costa Volpino,3,0,3-0,3,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,12/11/2023 ,Ipag S.Lle Ramonda Montecchio,Trasporti Bressan Offanengo,3,0,3-0,3,Ipag S.Lle Ramonda Montecchio,Ipag S.Lle Ramonda Montecchio,Trasporti Bressan Offanengo,FALSE
Italian Women A2,2023-2024,12/11/2023 ,Lpm Bam Mondovì,Omag-Mt San Giovanni In M.No,3,0,3-0,3,Lpm Bam Mondovì,Lpm Bam Mondovì,Omag-Mt San Giovanni In M.No,FALSE
Italian Women A2,2023-2024,12/11/2023 ,Volley Hermaea Olbia,Narconon Volley Melendugno,3,2,3-2,5,Volley Hermaea Olbia,Volley Hermaea Olbia,Narconon Volley Melendugno,FALSE
Italian Women A2,2023-2024,18/11/2023 ,Volley Hermaea Olbia,Ipag S.Lle Ramonda Montecchio,3,1,3-1,4,Volley Hermaea Olbia,Ipag S.Lle Ramonda Montecchio,Volley Hermaea Olbia,TRUE
